,location,timestamp,title,username,cantons,starttime,endtime,duplicate,place,category,severity
14,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bettlach,BEWOELKUNG,5
15,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bellach,BEWOELKUNG,3
16,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Obergösgen,BEWOELKUNG,3
17,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Cornol,BLITZE,5
18,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Pleigne,BLITZE,3
19,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Pleigne,REGEN,2
20,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Lajoux JU,BLITZE,3
21,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Courrendlin,BLITZE,5
22,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Courrendlin,REGEN,2
23,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Courgenay,BLITZE,3
24,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Courgenay,REGEN,4
25,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Courgenay,BLITZE,3
26,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Bassecourt,REGEN,4
27,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Movelier,BEWOELKUNG,1
28,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Movelier,BEWOELKUNG,3
29,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Montsevelier,BEWOELKUNG,5
30,8953 Dietikon,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Michael (Dietikon),Jura,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,1.0,Fontenais,BEWOELKUNG,1
31,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Sumiswald,BEWOELKUNG,3
32,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,REGEN,1
33,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Uttigen,BEWOELKUNG,1
34,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Moosseedorf,BEWOELKUNG,3
35,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Münsingen,BEWOELKUNG,5
36,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Stettlen,BEWOELKUNG,5
37,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Oberbipp,BEWOELKUNG,5
38,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,BEWOELKUNG,7
39,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Ittigen,REGEN,2
40,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Madiswil,WIND,1
41,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Madiswil,BEWOELKUNG,7
42,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Schüpfen,BLITZE,5
43,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Thun,BEWOELKUNG,5
44,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Malleray,BEWOELKUNG,7
45,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,HAGEL,7
46,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Frutigen,BEWOELKUNG,7
47,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Wattenwil,BEWOELKUNG,7
48,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Zweisimmen,BEWOELKUNG,5
49,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Zweisimmen,BEWOELKUNG,3
50,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Thierachern,BEWOELKUNG,3
51,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Meiringen,BEWOELKUNG,5
52,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Walperswil,BEWOELKUNG,5
53,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Aegerten,BEWOELKUNG,5
54,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Burgdorf,BEWOELKUNG,5
55,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Tavannes,BEWOELKUNG,5
56,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Unterseen,BEWOELKUNG,5
57,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Eriswil,BEWOELKUNG,5
58,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kernenried,BEWOELKUNG,5
59,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Oberhünigen,BEWOELKUNG,5
60,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Münchenbuchsee,BEWOELKUNG,5
61,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Spiez,BEWOELKUNG,5
62,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Zweisimmen,BEWOELKUNG,5
63,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Court,BEWOELKUNG,3
64,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Landiswil,BEWOELKUNG,3
65,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Gsteigwiler,BEWOELKUNG,3
66,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Erlenbach im Simmental,HAGEL,2
67,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Belp,BEWOELKUNG,5
68,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Hindelbank,HAGEL,2
69,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kirchberg BE,BEWOELKUNG,3
70,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Interlaken,REGEN,1
71,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Spiez,BEWOELKUNG,7
72,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Langenthal,BEWOELKUNG,5
73,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Lauterbrunnen,HAGEL,3
74,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,HAGEL,2
75,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Zäziwil,BEWOELKUNG,3
76,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Gurbrü,BLITZE,1
77,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Ins,BLITZE,1
78,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Münsingen,BEWOELKUNG,5
79,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,BLITZE,1
80,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Lyss,BEWOELKUNG,5
81,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Münsingen,HAGEL,2
82,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Gurbrü,REGEN,1
83,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Ipsach,WIND,2
84,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Münchenwiler,HAGEL,2
85,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Münchenwiler,HAGEL,2
86,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Lyss,BEWOELKUNG,7
87,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,BLITZE,1
88,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kriechenwil,HAGEL,4
89,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kandersteg,HAGEL,1
90,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Lyss,BLITZE,1
91,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,HAGEL,2
92,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Madiswil,BEWOELKUNG,7
93,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Clavaleyres,HAGEL,4
94,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kirchberg BE,BEWOELKUNG,7
95,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kriechenwil,HAGEL,3
96,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kandersteg,HAGEL,2
97,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kriechenwil,HAGEL,5
98,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Wileroltigen,HAGEL,3
99,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,2
100,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kriechenwil,HAGEL,3
101,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,3
102,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Treiten,REGEN,1
103,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,1
104,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,3
105,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,2
106,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Riggisberg,HAGEL,2
107,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Frauenkappelen,REGEN,2
108,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kriechenwil,HAGEL,4
109,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,1
110,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,BLITZE,1
111,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Biglen,BEWOELKUNG,5
112,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Kriechenwil,HAGEL,3
113,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Mühleberg,HAGEL,3
114,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Innertkirchen,BEWOELKUNG,5
115,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Mühleberg,HAGEL,2
116,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Mühleberg,HAGEL,3
117,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,1
118,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,2
119,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,2
120,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Mühleberg,HAGEL,3
121,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,HAGEL,1
122,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bern,HAGEL,3
123,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Mühleberg,HAGEL,2
124,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,2
125,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,2
126,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,2
127,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Neuenegg,HAGEL,3
128,3074 Muri bei Bern,2022-05-22,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Bern,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Wileroltigen,HAGEL,2
